dt,Open,High,Low,Close,Volume
2025-09-15 12:00:00,5.49,5.49,5.45,5.46,102212202.0
2025-09-16 08:00:00,5.46,5.47,5.41,5.44,184972420.0
2025-09-16 12:00:00,5.43,5.44,5.4,5.41,134386719.0
2025-09-17 08:00:00,5.42,5.43,5.36,5.39,169157740.0
2025-09-17 12:00:00,5.39,5.41,5.39,5.4,73441952.0
2025-09-18 08:00:00,5.41,5.41,5.33,5.34,175574975.0
2025-09-18 12:00:00,5.35,5.35,5.29,5.3,162557570.0
2025-09-19 08:00:00,5.29,5.3,5.2,5.27,215255780.0
2025-09-19 12:00:00,5.27,5.29,5.24,5.29,105305810.0
2025-09-22 08:00:00,5.27,5.3,5.22,5.24,120743452.0
2025-09-22 12:00:00,5.24,5.25,5.21,5.21,75896711.0
2025-09-23 08:00:00,5.19,5.35,5.16,5.31,350829748.0
2025-09-23 12:00:00,5.32,5.33,5.28,5.3,103763342.0
2025-09-24 08:00:00,5.29,5.37,5.27,5.28,255808750.0
2025-09-24 12:00:00,5.27,5.3,5.27,5.28,70814922.0
2025-09-25 08:00:00,5.27,5.28,5.21,5.21,162809788.0
2025-09-25 12:00:00,5.22,5.26,5.21,5.24,81562053.0
2025-09-26 08:00:00,5.23,5.25,5.2,5.24,97219908.0
2025-09-26 12:00:00,5.23,5.27,5.23,5.24,82441670.0
2025-09-29 08:00:00,5.24,5.24,5.16,5.19,182840401.0
2025-09-29 12:00:00,5.19,5.24,5.17,5.2,108938445.0
2025-09-30 08:00:00,5.19,5.21,5.16,5.18,109607969.0
2025-09-30 12:00:00,5.19,5.2,5.17,5.18,82526801.0
2025-10-09 08:00:00,5.18,5.22,5.13,5.21,176650213.0
2025-10-09 12:00:00,5.21,5.23,5.19,5.23,92335241.0
2025-10-10 08:00:00,5.22,5.28,5.21,5.25,160061747.0
2025-10-10 12:00:00,5.25,5.26,5.22,5.23,80918513.0
2025-10-13 08:00:00,5.21,5.23,5.15,5.2,188195300.0
2025-10-13 12:00:00,5.2,5.25,5.18,5.2,113945816.0
2025-10-14 08:00:00,5.19,5.29,5.16,5.29,246802310.0
2025-10-14 12:00:00,5.29,5.29,5.25,5.28,139298823.0
2025-10-15 08:00:00,5.28,5.31,5.24,5.26,207931229.0
2025-10-15 12:00:00,5.27,5.29,5.25,5.28,82156361.0
