dt,Open,High,Low,Close,Volume
2022-06-28,3.25,3.26,3.24,3.25,124881605.0
2022-06-29,3.24,3.26,3.24,3.26,145262952.0
2022-06-30,3.25,3.27,3.25,3.26,132741063.0
2022-07-01,3.26,3.27,3.26,3.26,107827360.0
2022-07-04,3.27,3.3,3.26,3.29,158278952.0
2022-07-05,3.29,3.31,3.28,3.3,109701716.0
2022-07-06,3.31,3.31,3.29,3.29,155208120.0
2022-07-07,3.3,3.3,3.29,3.29,96617787.0
2022-07-08,3.3,3.31,3.29,3.3,130241201.0
2022-07-11,3.31,3.34,3.3,3.32,192268722.0
2022-07-12,3.33,3.35,3.32,3.33,223921378.0
2022-07-13,3.33,3.34,3.28,3.29,225351639.0
2022-07-14,3.27,3.28,3.21,3.23,225707808.0
2022-07-15,3.03,3.04,3.0,3.0,273232104.0
2022-07-18,3.01,3.03,3.0,3.02,134613640.0
2022-07-19,3.03,3.05,3.02,3.04,102681408.0
2022-07-20,3.06,3.08,3.05,3.08,98414346.0
2022-07-21,3.09,3.1,3.06,3.06,113297249.0
2022-07-22,3.06,3.08,3.06,3.08,73960909.0
2022-07-25,3.08,3.09,3.07,3.09,54227394.0
2022-07-26,3.09,3.12,3.09,3.11,121188561.0
2022-07-27,3.11,3.11,3.09,3.09,91483843.0
2022-07-28,3.09,3.09,3.06,3.07,99149343.0
2022-07-29,3.07,3.07,3.05,3.06,123286311.0
2022-08-01,3.05,3.06,3.04,3.04,126754495.0
2022-08-02,3.04,3.04,3.02,3.02,118161970.0
2022-08-03,3.03,3.04,3.01,3.01,141579051.0
2022-08-04,3.02,3.04,3.01,3.03,72169836.0
2022-08-05,3.04,3.05,3.03,3.04,80123699.0
2022-08-08,3.05,3.05,3.03,3.03,62631923.0
2022-08-09,3.03,3.04,3.02,3.02,51354312.0
2022-08-10,3.03,3.04,3.02,3.02,52157206.0
2022-08-11,3.03,3.05,3.02,3.05,74187883.0
2022-08-12,3.05,3.05,3.03,3.04,90434370.0
2022-08-15,3.04,3.05,3.03,3.03,74872124.0
2022-08-16,3.03,3.05,3.03,3.03,67607430.0
2022-08-17,3.04,3.04,3.03,3.04,78567086.0
2022-08-18,3.04,3.04,3.02,3.02,80063491.0
2022-08-19,3.02,3.04,3.02,3.03,90415101.0
2022-08-22,3.02,3.03,3.02,3.02,86923624.0
2022-08-23,3.02,3.03,3.01,3.01,75429339.0
2022-08-24,3.01,3.03,3.01,3.01,106814759.0
2022-08-25,3.02,3.03,3.01,3.03,81020311.0
2022-08-26,3.03,3.03,3.01,3.02,69877582.0
2022-08-29,3.02,3.03,3.01,3.02,98104781.0
2022-08-30,3.02,3.04,3.02,3.03,91508323.0
2022-08-31,3.04,3.05,3.03,3.04,124951539.0
2022-09-01,3.05,3.06,3.04,3.05,96042898.0
2022-09-02,3.06,3.06,3.04,3.04,83102686.0
2022-09-05,3.04,3.06,3.04,3.05,82660879.0
2022-09-06,3.06,3.07,3.05,3.07,91630101.0
2022-09-07,3.07,3.07,3.06,3.06,61096711.0
2022-09-08,3.07,3.07,3.06,3.06,44417093.0
2022-09-09,3.07,3.09,3.06,3.08,93780393.0
2022-09-13,3.09,3.09,3.07,3.08,109715783.0
2022-09-14,3.07,3.08,3.07,3.07,61667247.0
2022-09-15,3.07,3.1,3.07,3.09,138372957.0
2022-09-16,3.1,3.1,3.05,3.05,130119163.0
2022-09-19,3.06,3.08,3.05,3.08,96413485.0
2022-09-20,3.09,3.09,3.06,3.07,124474985.0
2022-09-21,3.07,3.08,3.05,3.07,83992047.0
2022-09-22,3.07,3.08,3.06,3.07,92222319.0
2022-09-23,3.08,3.1,3.07,3.1,169034302.0
2022-09-26,3.1,3.11,3.06,3.06,140392825.0
2022-09-27,3.07,3.08,3.05,3.05,86579287.0
2022-09-28,3.06,3.08,3.04,3.07,114531908.0
2022-09-29,3.08,3.09,3.05,3.05,96899780.0
2022-09-30,3.06,3.09,3.05,3.09,127961507.0
2022-10-10,3.08,3.09,3.06,3.07,120890375.0
2022-10-11,3.07,3.08,3.06,3.06,107772247.0
2022-10-12,3.06,3.08,3.05,3.07,118989573.0
2022-10-13,3.06,3.07,3.05,3.05,86955664.0
2022-10-14,3.06,3.08,3.06,3.06,94382812.0
2022-10-17,3.06,3.06,3.05,3.05,77051347.0
2022-10-18,3.06,3.07,3.05,3.05,90180936.0
2022-10-19,3.05,3.06,3.05,3.05,65183649.0
2022-10-20,3.05,3.06,3.04,3.05,95315241.0
2022-10-21,3.05,3.08,3.05,3.07,143775202.0
2022-10-24,3.07,3.08,3.06,3.06,179927707.0
2022-10-25,3.06,3.07,3.05,3.05,140010265.0
2022-10-26,3.06,3.06,3.04,3.04,133635973.0
2022-10-27,3.05,3.05,3.03,3.03,139886596.0
2022-10-28,3.04,3.06,3.03,3.06,162996080.0
2022-10-31,3.05,3.06,3.01,3.01,181116217.0
2022-11-01,3.01,3.03,3.0,3.02,191792262.0
2022-11-02,3.01,3.01,2.99,3.0,136796843.0
2022-11-03,3.0,3.02,2.99,3.01,87394641.0
2022-11-04,3.01,3.04,3.01,3.04,110639095.0
2022-11-07,3.04,3.04,3.03,3.04,73108247.0
2022-11-08,3.04,3.04,3.02,3.04,106204710.0
2022-11-09,3.03,3.04,3.03,3.04,54728787.0
2022-11-10,3.03,3.05,3.01,3.05,145383127.0
2022-11-11,3.05,3.07,3.04,3.06,155885389.0
2022-11-14,3.06,3.08,3.05,3.06,151006789.0
2022-11-15,3.06,3.07,3.05,3.06,79451328.0
2022-11-16,3.06,3.07,3.05,3.05,97887858.0
2022-11-17,3.05,3.06,3.04,3.05,72887304.0
2022-11-18,3.06,3.06,3.04,3.04,87791024.0
2022-11-21,3.04,3.06,3.04,3.05,78549383.0
2022-11-22,3.06,3.08,3.05,3.08,193927650.0
2022-11-23,3.08,3.11,3.06,3.1,251560552.0
2022-11-24,3.11,3.11,3.09,3.09,77907198.0
2022-11-25,3.1,3.14,3.09,3.13,212121618.0
